property_title,location,number_of_rooms,price,size,listing_type,link
"1 Bedroom Apartment For Rent Ruwi, Muscat","Ruwi, Muscat",1 Bed,150,70 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130120536.html
"1 Bedroom Apartment For Rent Al Hail, Muscat","Al Hail, Muscat",1 Bed,300,100 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130279761.html
"3 Bedrooms Villa For Rent Qurum, Muscat","Qurum, Muscat",3 Beds,750,300 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129945405.html
"2 Bedroom Apartment For Rent in Ruwi, Muscat","Ruwi, Muscat",2 Beds,200,89 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130198304.html
"1 Bedroom Apartment For Rent in Ruwi, Muscat","Ruwi, Muscat",1 Bed,150,68 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129950997.html
"2 Bedroom Chalet For Rent in Barka, Al Batinah","Barka, Al Batinah",2 Beds,50,"3,000 Sq. M.",For Rent,https://www.bayut.om/en/property/details-129416377.html
"1 Bedroom Apartment For Rent in Muscat Hills, Muscat","Muscat Hills, Muscat",1 Bed,499,88 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130012461.html
"6 Bedroom Villa For Rent Qurum, Muscat","Qurum, Muscat",6 Beds,650,300 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129875446.html
2 Bedroom Apartment For Rent Muscat (The Wave (Almouj)),"The Wave (Almouj), Muscat",2 Beds,850,10 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129759791.html
"3 Bedrooms Villa For Rent Bosher, Muscat","Bosher, Muscat",3 Beds,850,300 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129636952.html
1 Bedroom Apartment For Rent Al Mawaleh Muscat,"Al Mawaleh, Muscat",1 Bed,150,30 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130105118.html
"4 Bedroom Villa For Rent in Bosher, Muscat","Bosher, Muscat",4 Beds,850,245 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129941716.html
"2 Bedrooms Apartment For Rent Al Ghubrah, Muscat","Al Ghubrah, Muscat",2 Beds,500,120 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129061175.html
"2 Bedrooms Apartment For Rent Bosher, Muscat","Bosher, Muscat",2 Beds,250,100 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129148541.html
"2 Bedroom Apartment For Rent Bosher, Muscat","Bosher, Muscat",2 Beds,495,109 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129792845.html
"1 Bedroom Apartment For Rent Madinat As Sultan Qaboos, Muscat","Madinat As Sultan Qaboos, Muscat",1 Bed,360,100 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130250511.html
"2 Bedrooms Apartment For Rent Al Khuwair, Muscat","Al Khuwair, Muscat",2 Beds,270,105 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130195149.html
"4 Bedrooms Villa For Rent Madinat As Sultan Qaboos, Muscat","Madinat As Sultan Qaboos, Muscat",4 Beds,950,300 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130188313.html
"2 Bedrooms Apartment For Rent in Al Hamriyah, Muscat","Al Hamriyah, Muscat",2 Beds,250,100 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129943854.html
"2 Bedrooms Apartment For Rent Al Wadi Al Kabir, Muscat","Al Wadi Al Kabir, Muscat",2 Beds,230,100 Sq. M.,For Rent,https://www.bayut.om/en/property/details-107345769.html
"2 Bedrooms Apartment For Rent Al Mawaleh, Muscat","Al Mawaleh, Muscat",2 Beds,250,100 Sq. M.,For Rent,https://www.bayut.om/en/property/details-125399989.html
"1 Bedroom Apartment For Rent in Bosher, Muscat","Al Ghubrah, Muscat",3 Beds,450,120 Sq. M.,For Rent,https://www.bayut.om/en/property/details-128608235.html
4 Bedrooms Villa For Rent Madinat As Sultan Qaboos Muscat,"Madinat As Sultan Qaboos, Muscat",4 Beds,800,700 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130250150.html
"5 Bedrooms Villa For Rent Qurum, Muscat","Qurum, Muscat",5 Beds,"1,000",450 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129421978.html
"1 Bedroom Apartment For Rent Ruwi, Muscat","Ruwi, Muscat",1 Bed,150,70 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130120536.html
"1 Bedroom Apartment For Rent Al Hail, Muscat","Al Hail, Muscat",1 Bed,300,100 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130279761.html
"3 Bedrooms Villa For Rent Qurum, Muscat","Qurum, Muscat",3 Beds,750,300 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129945405.html
"2 Bedroom Apartment For Rent in Ruwi, Muscat","Ruwi, Muscat",2 Beds,200,89 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130198304.html
"1 Bedroom Apartment For Rent in Ruwi, Muscat","Ruwi, Muscat",1 Bed,150,68 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129950997.html
"2 Bedroom Chalet For Rent in Barka, Al Batinah","Barka, Al Batinah",2 Beds,50,"3,000 Sq. M.",For Rent,https://www.bayut.om/en/property/details-129416377.html
"1 Bedroom Apartment For Rent in Muscat Hills, Muscat","Muscat Hills, Muscat",1 Bed,499,88 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130012461.html
"6 Bedroom Villa For Rent Qurum, Muscat","Qurum, Muscat",6 Beds,650,300 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129875446.html
2 Bedroom Apartment For Rent Muscat (The Wave (Almouj)),"The Wave (Almouj), Muscat",2 Beds,850,10 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129759791.html
"3 Bedrooms Villa For Rent Bosher, Muscat","Bosher, Muscat",3 Beds,850,300 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129636952.html
1 Bedroom Apartment For Rent Al Mawaleh Muscat,"Al Mawaleh, Muscat",1 Bed,150,30 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130105118.html
"4 Bedroom Villa For Rent in Bosher, Muscat","Bosher, Muscat",4 Beds,850,245 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129941716.html
"2 Bedrooms Apartment For Rent Al Ghubrah, Muscat","Al Ghubrah, Muscat",2 Beds,500,120 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129061175.html
"2 Bedrooms Apartment For Rent Bosher, Muscat","Bosher, Muscat",2 Beds,250,100 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129148541.html
"2 Bedroom Apartment For Rent Bosher, Muscat","Bosher, Muscat",2 Beds,495,109 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129792845.html
"1 Bedroom Apartment For Rent Madinat As Sultan Qaboos, Muscat","Madinat As Sultan Qaboos, Muscat",1 Bed,360,100 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130250511.html
"2 Bedrooms Apartment For Rent Al Khuwair, Muscat","Al Khuwair, Muscat",2 Beds,270,105 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130195149.html
"4 Bedrooms Villa For Rent Madinat As Sultan Qaboos, Muscat","Madinat As Sultan Qaboos, Muscat",4 Beds,950,300 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130188313.html
"2 Bedrooms Apartment For Rent in Al Hamriyah, Muscat","Al Hamriyah, Muscat",2 Beds,250,100 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129943854.html
"2 Bedrooms Apartment For Rent Al Wadi Al Kabir, Muscat","Al Wadi Al Kabir, Muscat",2 Beds,230,100 Sq. M.,For Rent,https://www.bayut.om/en/property/details-107345769.html
"2 Bedrooms Apartment For Rent Al Mawaleh, Muscat","Al Mawaleh, Muscat",2 Beds,250,100 Sq. M.,For Rent,https://www.bayut.om/en/property/details-125399989.html
"1 Bedroom Apartment For Rent in Bosher, Muscat","Al Ghubrah, Muscat",3 Beds,450,120 Sq. M.,For Rent,https://www.bayut.om/en/property/details-128608235.html
4 Bedrooms Villa For Rent Madinat As Sultan Qaboos Muscat,"Madinat As Sultan Qaboos, Muscat",4 Beds,800,700 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130250150.html
"5 Bedrooms Villa For Rent Qurum, Muscat","Qurum, Muscat",5 Beds,"1,000",450 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129421978.html
"1 Bedroom Apartment For Rent Ruwi, Muscat","Ruwi, Muscat",1 Bed,150,70 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130120536.html
"1 Bedroom Apartment For Rent Al Hail, Muscat","Al Hail, Muscat",1 Bed,300,100 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130279761.html
"3 Bedrooms Villa For Rent Qurum, Muscat","Qurum, Muscat",3 Beds,750,300 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129945405.html
"2 Bedroom Apartment For Rent in Ruwi, Muscat","Ruwi, Muscat",2 Beds,200,89 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130198304.html
"1 Bedroom Apartment For Rent in Ruwi, Muscat","Ruwi, Muscat",1 Bed,150,68 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129950997.html
"2 Bedroom Chalet For Rent in Barka, Al Batinah","Barka, Al Batinah",2 Beds,50,"3,000 Sq. M.",For Rent,https://www.bayut.om/en/property/details-129416377.html
"1 Bedroom Apartment For Rent in Muscat Hills, Muscat","Muscat Hills, Muscat",1 Bed,499,88 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130012461.html
"6 Bedroom Villa For Rent Qurum, Muscat","Qurum, Muscat",6 Beds,650,300 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129875446.html
2 Bedroom Apartment For Rent Muscat (The Wave (Almouj)),"The Wave (Almouj), Muscat",2 Beds,850,10 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129759791.html
"3 Bedrooms Villa For Rent Bosher, Muscat","Bosher, Muscat",3 Beds,850,300 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129636952.html
1 Bedroom Apartment For Rent Al Mawaleh Muscat,"Al Mawaleh, Muscat",1 Bed,150,30 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130105118.html
"4 Bedroom Villa For Rent in Bosher, Muscat","Bosher, Muscat",4 Beds,850,245 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129941716.html
"2 Bedrooms Apartment For Rent Al Ghubrah, Muscat","Al Ghubrah, Muscat",2 Beds,500,120 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129061175.html
"2 Bedrooms Apartment For Rent Bosher, Muscat","Bosher, Muscat",2 Beds,250,100 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129148541.html
"2 Bedroom Apartment For Rent Bosher, Muscat","Bosher, Muscat",2 Beds,495,109 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129792845.html
"1 Bedroom Apartment For Rent Madinat As Sultan Qaboos, Muscat","Madinat As Sultan Qaboos, Muscat",1 Bed,360,100 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130250511.html
"2 Bedrooms Apartment For Rent Al Khuwair, Muscat","Al Khuwair, Muscat",2 Beds,270,105 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130195149.html
"4 Bedrooms Villa For Rent Madinat As Sultan Qaboos, Muscat","Madinat As Sultan Qaboos, Muscat",4 Beds,950,300 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130188313.html
"2 Bedrooms Apartment For Rent in Al Hamriyah, Muscat","Al Hamriyah, Muscat",2 Beds,250,100 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129943854.html
"2 Bedrooms Apartment For Rent Al Wadi Al Kabir, Muscat","Al Wadi Al Kabir, Muscat",2 Beds,230,100 Sq. M.,For Rent,https://www.bayut.om/en/property/details-107345769.html
"2 Bedrooms Apartment For Rent Al Mawaleh, Muscat","Al Mawaleh, Muscat",2 Beds,250,100 Sq. M.,For Rent,https://www.bayut.om/en/property/details-125399989.html
"1 Bedroom Apartment For Rent in Bosher, Muscat","Al Ghubrah, Muscat",3 Beds,450,120 Sq. M.,For Rent,https://www.bayut.om/en/property/details-128608235.html
4 Bedrooms Villa For Rent Madinat As Sultan Qaboos Muscat,"Madinat As Sultan Qaboos, Muscat",4 Beds,800,700 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130250150.html
"5 Bedrooms Villa For Rent Qurum, Muscat","Qurum, Muscat",5 Beds,"1,000",450 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129421978.html
"1 Bedroom Apartment For Rent Ruwi, Muscat","Ruwi, Muscat",1 Bed,150,70 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130120536.html
"1 Bedroom Apartment For Rent Al Hail, Muscat","Al Hail, Muscat",1 Bed,300,100 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130279761.html
"3 Bedrooms Villa For Rent Qurum, Muscat","Qurum, Muscat",,750,,For Rent,https://www.bayut.om/en/property/details-129945405.html
"2 Bedroom Apartment For Rent in Ruwi, Muscat","Ruwi, Muscat",,200,,For Rent,https://www.bayut.om/en/property/details-130198304.html
"1 Bedroom Apartment For Rent in Ruwi, Muscat","Ruwi, Muscat",,150,,For Rent,https://www.bayut.om/en/property/details-129950997.html
"2 Bedroom Chalet For Rent in Barka, Al Batinah","Barka, Al Batinah",,50,,For Rent,https://www.bayut.om/en/property/details-129416377.html
"1 Bedroom Apartment For Rent in Muscat Hills, Muscat","Muscat Hills, Muscat",1 Bed,499,88 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130012461.html
"6 Bedroom Villa For Rent Qurum, Muscat","Qurum, Muscat",6 Beds,650,300 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129875446.html
2 Bedroom Apartment For Rent Muscat (The Wave (Almouj)),"The Wave (Almouj), Muscat",2 Beds,850,10 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129759791.html
"3 Bedrooms Villa For Rent Bosher, Muscat","Bosher, Muscat",3 Beds,850,300 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129636952.html
1 Bedroom Apartment For Rent Al Mawaleh Muscat,"Al Mawaleh, Muscat",1 Bed,150,30 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130105118.html
"4 Bedroom Villa For Rent in Bosher, Muscat","Bosher, Muscat",4 Beds,850,245 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129941716.html
"2 Bedrooms Apartment For Rent Al Ghubrah, Muscat","Al Ghubrah, Muscat",2 Beds,500,120 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129061175.html
"2 Bedrooms Apartment For Rent Bosher, Muscat","Bosher, Muscat",2 Beds,250,100 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129148541.html
"2 Bedroom Apartment For Rent Bosher, Muscat","Bosher, Muscat",2 Beds,495,109 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129792845.html
"1 Bedroom Apartment For Rent Madinat As Sultan Qaboos, Muscat","Madinat As Sultan Qaboos, Muscat",1 Bed,360,100 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130250511.html
"2 Bedrooms Apartment For Rent Al Khuwair, Muscat","Al Khuwair, Muscat",2 Beds,270,105 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130195149.html
"4 Bedrooms Villa For Rent Madinat As Sultan Qaboos, Muscat","Madinat As Sultan Qaboos, Muscat",4 Beds,950,300 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130188313.html
"2 Bedrooms Apartment For Rent in Al Hamriyah, Muscat","Al Hamriyah, Muscat",2 Beds,250,100 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129943854.html
"2 Bedrooms Apartment For Rent Al Wadi Al Kabir, Muscat","Al Wadi Al Kabir, Muscat",2 Beds,230,100 Sq. M.,For Rent,https://www.bayut.om/en/property/details-107345769.html
"2 Bedrooms Apartment For Rent Al Mawaleh, Muscat","Al Mawaleh, Muscat",2 Beds,250,100 Sq. M.,For Rent,https://www.bayut.om/en/property/details-125399989.html
"1 Bedroom Apartment For Rent in Bosher, Muscat","Al Ghubrah, Muscat",3 Beds,450,120 Sq. M.,For Rent,https://www.bayut.om/en/property/details-128608235.html
4 Bedrooms Villa For Rent Madinat As Sultan Qaboos Muscat,"Madinat As Sultan Qaboos, Muscat",4 Beds,800,700 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130250150.html
"5 Bedrooms Villa For Rent Qurum, Muscat","Qurum, Muscat",5 Beds,"1,000",450 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129421978.html
"1 Bedroom Apartment For Rent Ruwi, Muscat","Ruwi, Muscat",1 Bed,150,70 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130120536.html
"1 Bedroom Apartment For Rent Al Hail, Muscat","Al Hail, Muscat",1 Bed,300,100 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130279761.html
"3 Bedrooms Villa For Rent Qurum, Muscat","Qurum, Muscat",3 Beds,750,300 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129945405.html
"2 Bedroom Apartment For Rent in Ruwi, Muscat","Ruwi, Muscat",2 Beds,200,89 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130198304.html
"1 Bedroom Apartment For Rent in Ruwi, Muscat","Ruwi, Muscat",1 Bed,150,68 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129950997.html
"2 Bedroom Chalet For Rent in Barka, Al Batinah","Barka, Al Batinah",2 Beds,50,"3,000 Sq. M.",For Rent,https://www.bayut.om/en/property/details-129416377.html
"1 Bedroom Apartment For Rent in Muscat Hills, Muscat","Muscat Hills, Muscat",1 Bed,499,88 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130012461.html
"6 Bedroom Villa For Rent Qurum, Muscat","Qurum, Muscat",6 Beds,650,300 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129875446.html
2 Bedroom Apartment For Rent Muscat (The Wave (Almouj)),"The Wave (Almouj), Muscat",2 Beds,850,10 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129759791.html
"3 Bedrooms Villa For Rent Bosher, Muscat","Bosher, Muscat",3 Beds,850,300 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129636952.html
1 Bedroom Apartment For Rent Al Mawaleh Muscat,"Al Mawaleh, Muscat",1 Bed,150,30 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130105118.html
"4 Bedroom Villa For Rent in Bosher, Muscat","Bosher, Muscat",4 Beds,850,245 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129941716.html
"2 Bedrooms Apartment For Rent Al Ghubrah, Muscat","Al Ghubrah, Muscat",2 Beds,500,120 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129061175.html
"2 Bedrooms Apartment For Rent Bosher, Muscat","Bosher, Muscat",2 Beds,250,100 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129148541.html
"2 Bedroom Apartment For Rent Bosher, Muscat","Bosher, Muscat",2 Beds,495,109 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129792845.html
"1 Bedroom Apartment For Rent Madinat As Sultan Qaboos, Muscat","Madinat As Sultan Qaboos, Muscat",1 Bed,360,100 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130250511.html
"2 Bedrooms Apartment For Rent Al Khuwair, Muscat","Al Khuwair, Muscat",2 Beds,270,105 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130195149.html
"4 Bedrooms Villa For Rent Madinat As Sultan Qaboos, Muscat","Madinat As Sultan Qaboos, Muscat",4 Beds,950,300 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130188313.html
"2 Bedrooms Apartment For Rent in Al Hamriyah, Muscat","Al Hamriyah, Muscat",2 Beds,250,100 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129943854.html
"2 Bedrooms Apartment For Rent Al Wadi Al Kabir, Muscat","Al Wadi Al Kabir, Muscat",2 Beds,230,100 Sq. M.,For Rent,https://www.bayut.om/en/property/details-107345769.html
"2 Bedrooms Apartment For Rent Al Mawaleh, Muscat","Al Mawaleh, Muscat",2 Beds,250,100 Sq. M.,For Rent,https://www.bayut.om/en/property/details-125399989.html
"1 Bedroom Apartment For Rent in Bosher, Muscat","Al Ghubrah, Muscat",3 Beds,450,120 Sq. M.,For Rent,https://www.bayut.om/en/property/details-128608235.html
4 Bedrooms Villa For Rent Madinat As Sultan Qaboos Muscat,"Madinat As Sultan Qaboos, Muscat",4 Beds,800,700 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130250150.html
"5 Bedrooms Villa For Rent Qurum, Muscat","Qurum, Muscat",5 Beds,"1,000",450 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129421978.html
"1 Bedroom Apartment For Rent Ruwi, Muscat","Ruwi, Muscat",1 Bed,150,70 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130120536.html
"1 Bedroom Apartment For Rent Al Hail, Muscat","Al Hail, Muscat",1 Bed,300,100 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130279761.html
"3 Bedrooms Villa For Rent Qurum, Muscat","Qurum, Muscat",3 Beds,750,300 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129945405.html
"2 Bedroom Apartment For Rent in Ruwi, Muscat","Ruwi, Muscat",2 Beds,200,89 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130198304.html
"1 Bedroom Apartment For Rent in Ruwi, Muscat","Ruwi, Muscat",1 Bed,150,68 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129950997.html
"2 Bedroom Chalet For Rent in Barka, Al Batinah","Barka, Al Batinah",2 Beds,50,"3,000 Sq. M.",For Rent,https://www.bayut.om/en/property/details-129416377.html
